product,url product lookup
Yogurt,http://dbpedia.org/resource/Strained_yogurt
Yogurt,http://dbpedia.org/resource/Colombo_Yogurt
Yogurt,http://dbpedia.org/resource/Yogurt_Mountain
Yogurt,http://dbpedia.org/resource/Frozen_yogurt
Yogurt,http://dbpedia.org/resource/Yogurt_soup
Yogurt,http://dbpedia.org/resource/Kiwi_Yogurt
Yogurt,http://dbpedia.org/resource/YoLo_Frozen_Yogurt
Optical disc,http://dbpedia.org/resource/Optical_disc
Optical disc,http://dbpedia.org/resource/Finalize_(optical_discs)
Optical disc,http://dbpedia.org/resource/Triple_Play_(optical_discs)
Optical disc,http://dbpedia.org/resource/Optical_link
Optical disc,http://dbpedia.org/resource/Optical_amplifier
Optical disc,http://dbpedia.org/resource/Recon_Optical
Optical disc,http://dbpedia.org/resource/Optical_chaos
Optical disc,http://dbpedia.org/resource/Optical_transistor
Optical disc,http://dbpedia.org/resource/Optical_engineering
Optical disc,http://dbpedia.org/resource/Optical_attenuator
Optical disc,http://dbpedia.org/resource/Optical_space
Optical disc,http://dbpedia.org/resource/Optical_depth
Optical disc,http://dbpedia.org/resource/Optical_switch
Photovoltaics,http://dbpedia.org/resource/Photovoltaics
Photovoltaics,http://dbpedia.org/resource/Centrotherm_Photovoltaics
Photovoltaics,http://dbpedia.org/resource/Tatabánya_Photovoltaics_Plant
Photovoltaics,http://dbpedia.org/resource/Opatov_Photovoltaics_Plant
Photovoltaics,http://dbpedia.org/resource/Rétság_Photovoltaics_Plant
Photovoltaics,http://dbpedia.org/resource/Kadaň_Photovoltaics_Plant
Photovoltaics,http://dbpedia.org/resource/Suncore_Photovoltaics
Photovoltaics,http://dbpedia.org/resource/Concentrator_photovoltaics
Photovoltaics,http://dbpedia.org/resource/Biological_photovoltaics
Photovoltaics,http://dbpedia.org/resource/Progress_in_Photovoltaics
Diesel engine,http://dbpedia.org/resource/Diesel_engine
Diesel engine,http://dbpedia.org/resource/GDiesel
Diesel engine,http://dbpedia.org/resource/Diesel-electric_transmission
Diesel engine,http://dbpedia.org/resource/Combined_diesel_and_diesel
Diesel engine,http://dbpedia.org/resource/Turbo-diesel
Diesel engine,http://dbpedia.org/resource/Diesel_(brand)
Diesel engine,http://dbpedia.org/resource/E-diesel
Diesel engine,http://dbpedia.org/resource/Diesel_(film)
Diesel engine,http://dbpedia.org/resource/Diesel-Loco_Modernisation_Works
Diesel engine,http://dbpedia.org/resource/Diesel_(dog)
Diesel engine,http://dbpedia.org/resource/Diesel_(musician)
Engine,http://dbpedia.org/resource/Engine_(Engine_album)
Engine,http://dbpedia.org/resource/Idle_(engine)
Engine,http://dbpedia.org/resource/Overspeed_(engine)
Engine,http://dbpedia.org/resource/Stall_(engine)
Engine,http://dbpedia.org/resource/Detuner_(engine)
Engine,http://dbpedia.org/resource/Cylinder_(engine)
Engine,http://dbpedia.org/resource/Bivalent_(engine)
Engine,http://dbpedia.org/resource/Bore_(engine)
Engine,http://dbpedia.org/resource/Starter_(engine)
Engine,http://dbpedia.org/resource/SDI_(engine)
Commercial vehicle,http://dbpedia.org/resource/Commercial_vehicle
Commercial vehicle,http://dbpedia.org/resource/Commercial_(First)
Commercial vehicle,http://dbpedia.org/resource/Commercial_(Second)
Commercial vehicle,http://dbpedia.org/resource/Commercial-News
Commercial vehicle,http://dbpedia.org/resource/Cheer_Up!_(Commercial)
Commercial vehicle,http://dbpedia.org/resource/Commercial–Broadway_station
Commercial vehicle,http://dbpedia.org/resource/Commercial_(album)
Commercial vehicle,http://dbpedia.org/resource/Commercial
Commercial vehicle,http://dbpedia.org/resource/Sponsor_(commercial)
Commercial vehicle,http://dbpedia.org/resource/Commercial_Street
Commercial vehicle,http://dbpedia.org/resource/Commercial_mortgage
